

Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
problem,org.zalando.problem,GenericProblems,1.0,0.0,2.0,2.0,0.0,1.0
problem,org.zalando.problem,ThrowableProblem,10.0,0.0,5.0,5.0,0.0,1.0
problem,org.zalando.problem,DefaultProblem,1.0,0.0,2.0,2.0,0.0,0.0
problem,org.zalando.problem,Problem,66.0,66.0,12.0,6.0,1.0,-1.0
problem,org.zalando.problem,AbstractThrowableProblem,51.0,0.0,2.0,2.0,0.6666666666666666,0.13333333333333333
problem,org.zalando.problem,ProblemBuilder,29.0,22.0,2.0,2.0,0.890625,0.2222222222222222
problem,org.zalando.problem,StatusType,1.0,0.0,2.0,2.0,0.0,-1.0
problem,org.zalando.problem,Exceptional,3.0,0.0,3.0,2.0,0.0,-1.0
problem,org.zalando.problem.spi,StackTraceProcessor,0.0,0.0,3.0,3.0,0.0,-1.0


